tsp_file,algorithm,cost,elapsed_time
tsp1_253,bruteforce,253,22.4464221
tsp1_253,parallel_bruteforce,253,15.8269549
tsp2_1248,bruteforce,1248,0.000214
tsp2_1248,parallel_bruteforce,1248,0.0029967
tsp1_253,bruteforce,253,15.5758844
tsp1_253,parallel_bruteforce,253,16.7235446
tsp2_1248,bruteforce,1248,0.0010817
tsp2_1248,parallel_bruteforce,1248,0.0005483
tsp1_253,bruteforce,253,17.4366077
tsp1_253,parallel_bruteforce,253,15.6128569
tsp2_1248,bruteforce,1248,0.0001692
tsp2_1248,parallel_bruteforce,1248,0.0002212
tsp1_253,bruteforce,253,16.0998389
tsp1_253,parallel_bruteforce,253,15.6018506
tsp2_1248,bruteforce,1248,0.0002225
tsp2_1248,parallel_bruteforce,1248,0.0002837
tsp1_253,bruteforce,253,16.8699963
tsp1_253,parallel_bruteforce,253,15.2861241
tsp2_1248,bruteforce,1248,0.0001622
tsp2_1248,parallel_bruteforce,1248,0.0002225
tsp1_253,bruteforce,253,18.0290048
tsp1_253,parallel_bruteforce,253,15.8507773
tsp2_1248,bruteforce,1248,0.000169
tsp2_1248,parallel_bruteforce,1248,0.0016623
tsp1_253,bruteforce,253,21.5480725
tsp1_253,parallel_bruteforce,253,15.7802769
tsp2_1248,bruteforce,1248,0.0001602
tsp2_1248,parallel_bruteforce,1248,0.0002578
tsp1_253,bruteforce,253,18.5473507
tsp1_253,parallel_bruteforce,253,17.0207953
tsp2_1248,bruteforce,1248,0.0001977
tsp2_1248,parallel_bruteforce,1248,0.0002989
tsp1_253,bruteforce,253,17.9213561
tsp1_253,parallel_bruteforce,253,14.6466766
tsp2_1248,bruteforce,1248,0.0001709
tsp2_1248,parallel_bruteforce,1248,0.0002661
tsp1_253,bruteforce,253,16.2630191
tsp1_253,parallel_bruteforce,253,16.3630335
tsp2_1248,bruteforce,1248,0.0002107
tsp2_1248,parallel_bruteforce,1248,0.0002476
tsp1_253,bruteforce,253,14.7642345
tsp1_253,parallel_bruteforce,253,15.6839706
tsp2_1248,bruteforce,1248,0.0001795
tsp2_1248,parallel_bruteforce,1248,0.0002843
tsp1_253,bruteforce,253,15.0146437
tsp1_253,parallel_bruteforce,253,15.3333658
tsp2_1248,bruteforce,1248,0.0001737
tsp2_1248,parallel_bruteforce,1248,0.0002611
tsp1_253,bruteforce,253,13.937341
tsp1_253,parallel_bruteforce,253,16.244584
tsp2_1248,bruteforce,1248,0.0002059
tsp2_1248,parallel_bruteforce,1248,0.0006152
tsp1_253,bruteforce,253,17.1360194
tsp1_253,parallel_bruteforce,253,18.4341538
tsp2_1248,bruteforce,1248,0.0001769
tsp2_1248,parallel_bruteforce,1248,0.000216
tsp1_253,bruteforce,253,17.9415307
tsp1_253,parallel_bruteforce,253,15.0609492
tsp2_1248,bruteforce,1248,0.0001663
tsp2_1248,parallel_bruteforce,1248,0.0002494
tsp1_253,bruteforce,253,14.6201138
tsp1_253,parallel_bruteforce,253,15.1664751
tsp2_1248,bruteforce,1248,0.0002011
tsp2_1248,parallel_bruteforce,1248,0.0004703
tsp1_253,bruteforce,253,15.630467
tsp1_253,parallel_bruteforce,253,14.6137175
tsp2_1248,bruteforce,1248,0.00017
tsp2_1248,parallel_bruteforce,1248,0.0024709
tsp1_253,bruteforce,253,13.9624591
tsp1_253,parallel_bruteforce,253,14.3832309
tsp2_1248,bruteforce,1248,0.0002001
tsp2_1248,parallel_bruteforce,1248,0.0002843
tsp1_253,bruteforce,253,15.9265879
tsp1_253,parallel_bruteforce,253,15.4115761
tsp2_1248,bruteforce,1248,0.0001907
tsp2_1248,parallel_bruteforce,1248,0.0009892
tsp1_253,bruteforce,253,15.8012238
tsp1_253,parallel_bruteforce,253,15.0452275
tsp2_1248,bruteforce,1248,0.0001754
tsp2_1248,parallel_bruteforce,1248,0.0002064
tsp1_253,bruteforce,253,13.949084299999999
